[]
['10.', 'Vyndaqel', 'tafamidis meglumine', '5/3/2019', 'To treat heart disease (cardiomyopathy) caused by transthyretin mediated amyloidosis (ATTR-CM) in adultsPress Release']
['9.', 'Skyrizi', 'risankizumab-rzaa', '4/23/2019', 'To treat moderate-to-severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy']
['8.', 'Balversa', 'erdafitinib', '4/12/2019', 'To treat adult patients with locally advanced or metastatic bladder cancerPress Release']
['7.', 'Evenity', 'romosozumab-aqqg', '4/9/2019', 'To treat osteoporosis in postmenopausal women at high risk of fracturePress ReleaseDrug Trials Snapshot']
['6.', 'Mayzent', 'siponimod', '3/26/2019', 'To treat adults with relapsing forms of multiple sclerosisPress Release']
['5.', 'Sunosi', 'solriamfetol', '3/20/2019', 'To treat\xa0excessive sleepiness in adult patients with narcolepsy or obstructive sleep apneaDrug Trials Snapshot']
['4.', 'Zulresso', 'brexanolone', '3/19/2019', 'To treat postpartum depression (PPD) in adult womenPress ReleaseDrug Trials Snapshot']
['3.', 'Egaten', 'triclabendazole', '2/13/2019', 'To treat fascioliasis, a parasitic infestation caused by two species of flatworms or trematodes that mainly the affect the liver, sometimes referred to as “liver flukes”Drug Trials Snapshot']
['2.', 'Cablivi', 'caplacizumab-yhdp', '2/6/2019', 'To treat adult patients with acquired thrombotic thrombocytopenic purpura (aTTP)Press ReleaseDrug Trials Snapshot']
['1.', 'Jeuveau', 'prabotulinumtoxinA-xvfs', '2/1/2019', 'For the temporary improvement in the appearance of moderate to severe glabellar lines associated with corrugator and/or procerus muscle activity in adult patients']
